Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,300-600,Inferred,730
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,300-600,Proved,1143
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,600-1200,Indicated,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,600-1200,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,600-1200,Proved,91
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,0-300,Indicated,6123
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,0-300,Inferred,387
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,0-300,Proved,6779
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,300-600,Indicated,3113
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,300-600,Inferred,382
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,300-600,Proved,1955
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,600-1200,Indicated,30
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,600-1200,Inferred,5
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Rajmahal,Non-Coking,600-1200,Proved,77
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,0-300,Indicated,155
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,0-300,Proved,729
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,300-600,Indicated,299
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,300-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Medium Coking,300-600,Proved,29
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Non-Coking,0-300,Indicated,26
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Non-Coking,0-300,Inferred,5
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Non-Coking,0-300,Proved,7
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,0-300,Indicated,95
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,0-300,Inferred,1
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,0-300,Proved,172
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Ramgarh,Semi-Coking,300-600,Indicated,336
